Timestamp,1. What is your gender? ,2. What is your age range? ,3. Which best describes you?,4. Have you ever needed medical calculators or clinical scoring tools in your practice or training?,"5. Before today, were you aware of online medical calculator platforms?",6. How useful do you think CalcForDocs would be in your clinical work or training?,7. How easy do you think it would be to access CalcForDocs when needed?,8. How easy do you think CalcForDocs would be to use?,9. How likely are you to pay for a medical calculator tool?,10. Do you currently use any similar medical calculator tools?,"11. If yes, which tool(s) do you use?","12. Compared with similar tools, how likely would you be to try CalcForDocs?",13. Would you trust a healthcare platform developed by Nigerian healthcare professionals if it provides accurate and evidence-based calculations?,14. How likely are you to recommend CalcForDocs to colleagues if it meets your needs?,15. What additional features would you like to see in CalcForDocs?
19/06/2026 18:15:42,Male,30-39,Medical Officer,Occasionally,Not familiar,Very useful,Somewhat easy,Easy,Very likely,No,,Likely,Yes,Very likely,
19/06/2026 18:16:42,Female,20-29,Medical Officer,Occasionally,Somewhat familiar,Very useful,Somewhat easy,Easy,Uncertain,No,,Likely,Yes,Very likely,
19/06/2026 18:20:40,Male,20-29,Medical Officer,Frequently,Somewhat familiar,Very useful,Very easy,Very easy,Uncertain,No,,Very likely,Yes,Very likely,
19/06/2026 18:24:48,Male,20-29,Medical Officer,Frequently,Very familiar,Very useful,Very easy,Very easy,Very likely,No,,Unlikely,Yes,Very likely,ECG interpretation 
19/06/2026 18:36:25,Male,30-39,Medical Officer,Frequently,Very familiar,Very useful,Very easy,Very easy,Likey,Yes,Medscape,Likely,Yes,Likely,
19/06/2026 18:42:31,Male,20-29,Medical Officer,Occasionally,Somewhat familiar,Very useful,Very easy,Very easy,Likey,No,,Very likely,Yes,Very likely,
19/06/2026 19:05:34,Male,30-39,Resident Doctor,Occasionally,Very familiar,Very useful,Very easy,Very easy,Uncertain,Yes,Medscape calculators,Likely,Yes,Very likely,"Children healthcare centiles calculators for BP, malnutrition, et cetera"
19/06/2026 19:22:14,Female,20-29,Medical Officer,Frequently,Not familiar,Moderately useful,Somewhat easy,Easy,Unlikely,No,,Very likely,Yes,Likely,
19/06/2026 19:22:47,Male,20-29,House Officer,Occasionally,Somewhat familiar,Very useful,Very easy,Very easy,Likey,Yes,Calcfordocs,Very likely,Yes,Very likely,
19/06/2026 19:38:04,Male,20-29,Medical Officer,Occasionally,Somewhat familiar,Very useful,Very easy,Very easy,Likey,No,,Very likely,Yes,Very likely,
19/06/2026 19:38:37,Male,20-29,Medical Officer,Occasionally,Very familiar,Very useful,Very easy,Very easy,Uncertain,No,,Likely,Yes,Very likely,
19/06/2026 19:41:24,Male,30-39,Medical Officer,Frequently,Somewhat familiar,Very useful,Very easy,Very easy,Very likely,No,,Very likely,Yes,Very likely,
19/06/2026 19:48:11,Female,20-29,Medical Officer,Frequently,Somewhat familiar,Very useful,Very easy,Very easy,Likey,No,,Very likely,Yes,Very likely,Giving differentials diagnosis if asked a clinical case
19/06/2026 19:55:50,Male,30-39,Medical Officer,Occasionally,Somewhat familiar,Very useful,Very easy,Easy,Likey,Yes,CalcforDocs,Very likely,Yes,Likely,To be an App 
19/06/2026 20:28:43,Female,20-29,Medical Officer,Frequently,Not familiar,Very useful,Not accessible,Easy,Unlikely,No,,Very likely,Yes,Very likely,
19/06/2026 20:29:13,Male,30-39,Resident Doctor,Occasionally,Very familiar,Very useful,Very easy,Easy,Likey,Yes,Medscape,Likely,Yes,Likely,Ok for now
19/06/2026 20:48:05,Male,30-39,Medical Officer,Frequently,Somewhat familiar,Very useful,Very easy,Very easy,Uncertain,No,,Likely,Yes,Very likely,
19/06/2026 20:49:27,Male,20-29,Medical Officer,Frequently,Somewhat familiar,Very useful,Very easy,Easy,Uncertain,No,,Very likely,Yes,Very likely,Make navigation a bit easier and a more modern UI
19/06/2026 20:54:55,Male,30-39,Medical Officer,Frequently,Somewhat familiar,Moderately useful,Very easy,Easy,Uncertain,No,,Likely,Yes,Very likely,
19/06/2026 21:03:59,Male,30-39,Medical Officer,Rarely,Somewhat familiar,Moderately useful,Very easy,Very easy,Very likely,No,,Very likely,Yes,Very likely,
19/06/2026 21:06:35,Male,20-29,Medical Officer,Frequently,Somewhat familiar,Very useful,Very easy,Easy,Uncertain,Yes,Medscape,Very likely,Yes,Very likely,
19/06/2026 21:11:25,Male,20-29,Medical Officer,Frequently,Somewhat familiar,Very useful,Somewhat easy,Easy,Uncertain,Yes,Medscape calculators,Very likely,Yes,Very likely,
19/06/2026 21:11:59,Male,20-29,Medical Officer,Occasionally,Somewhat familiar,Very useful,Very easy,Very easy,Uncertain,No,,Uncertain,Yes,Very likely,
19/06/2026 21:18:02,Male,20-29,Medical Officer,Occasionally,Very familiar,Very useful,Very easy,Very easy,Unlikely,Yes,Medscape Calculator ,Very likely,Yes,Very likely,Calculation on surgical nutrition 
19/06/2026 21:24:47,Male,20-29,Medical Officer,Frequently,Not familiar,Moderately useful,Very easy,Very easy,Likey,No,,Likely,Yes,Very likely,
19/06/2026 21:27:26,Male,30-39,Medical Officer,Frequently,Somewhat familiar,Moderately useful,Somewhat easy,Easy,Unlikely,No,mobile calculator ,Likely,Yes,Likely,
19/06/2026 21:28:30,Female,20-29,Medical Officer,Occasionally,Not familiar,Very useful,Very easy,Very easy,Uncertain,No,,Likely,Yes,Very likely,
19/06/2026 21:36:20,Male,20-29,Medical Officer,Frequently,Very familiar,Very useful,Very easy,Very easy,Very likely,No,,Very likely,Yes,Very likely,Colors for different stage and levels
19/06/2026 21:44:42,Male,20-29,House Officer,Occasionally,Very familiar,Very useful,Very easy,Very easy,Likey,No,,Very likely,Yes,Very likely,
19/06/2026 21:50:48,Female,20-29,Medical Officer,Occasionally,Very familiar,Very useful,Very easy,Very easy,Likey,No,,Very likely,Yes,Very likely,
19/06/2026 21:57:33,Female,30-39,Medical Officer,Frequently,Not familiar,Very useful,Very easy,Easy,Likey,No,,Uncertain,Yes,Very likely,recommended 
